,company_name,security,sector
101,PANASIAN POWER PLC,PAP.N0000,5510
102,PAN ASIA BANKING CORPORATION PLC,PABC.N0000,4010
103,OVERSEAS REALTY (CEYLON) PLC,OSEA.N0000,6020
104,ON ALLY HOLDINGS PLC,ONAL.N0000,6020
105,OFFICE EQUIPMENT PLC,OFEQ.N0000,2010
106,NATIONS TRUST BANK PLC,NTB.N0000,4010
107,THE NUWARA ELIYA HOTELS COMPANY PLC,NEH.N0000,2530
108,NATIONS TRUST BANK PLC [Non-Voting],NTB.X0000,4010
109,ODEL PLC,ODEL.N0000,2550
110,NAWALOKA HOSPITALS PLC,NHL.N0000,3510
111,NAMUNUKULA PLANTATIONS PLC,NAMU.N0000,3020
112,MAHAWELI REACH HOTELS PLC,MRH.N0000,2530
113,NATIONAL DEVELOPMENT BANK PLC,NDB.N0000,4010
114,MULLER & PHIPPS (CEYLON) PLC,MULL.N0000,3510
115,MERCANTILE SHIPPING COMPANY PLC,MSL.N0000,2030
116,MILLENNIUM HOUSING DEVELOPERS PLC,MHDL.N0000,6020
117,HAYLEYS FABRIC PLC,MGT.N0000,2520
118,MERCANTILE INVESTMENTS AND FINANCE PLC,MERC.N0000,4020
119,MASKELIYA PLANTATIONS PLC,MASK.N0000,3020
120,GREENTECH ENERGY PLC,MEL.N0000,2010
121,MELSTACORP PLC,MELS.N0000,3020
122,MERCHANT BANK OF SRI LANKA & FINANCE PLC,MBSL.N0000,4020
123,MAHAWELI COCONUT PLANTATIONS PLC,MCPL.N0000,3020
124,MALWATTE VALLEY PLANTATION PLC,MAL.N0000,3020
125,MARAWILA  RESORTS  PLC,MARA.N0000,2530
126,MALWATTE VALLEY PLANTATION PLC [Non-Voting],MAL.X0000,3020
127,MADULSIMA  PLANTATIONS  PLC,MADU.N0000,3020
128,LANKA WALLTILE PLC,LWL.N0000,2010
129,LANKA VENTURES PLC,LVEN.N0000,4020
130,L V L ENERGY FUND PLC,LVEF.N0000,5510
131,LAKE HOUSE PRINTERS & PUBLISHERS PLC,LPRT.N0000,2020
132,LAUGFS POWER PLC [Non-Voting],LPL.X0000,5510
133,LAUGFS POWER PLC,LPL.N0000,5510
134,L O L C HOLDINGS PLC,LOLC.N0000,4020
135,LOLC FINANCE PLC,LOFC.N0000,4020
136,LANKA MILK FOODS (CWE) PLC,LMF.N0000,3020
137,CHEVRON LUBRICANTS  LANKA  PLC,LLUB.N0000,1510
138,LAXAPANA PLC,LITE.N0000,2010
139,LION BREWERY (CEYLON) PLC,LION.N0000,3020
140,LANKA IOC PLC,LIOC.N0000,1010
141,THE  LIGHTHOUSE  HOTEL  PLC,LHL.N0000,2530
142,THE LANKA HOSPITALS CORPORATION PLC,LHCL.N0000,3510
143,LAUGFS GAS PLC [Non-Voting],LGL.X0000,1010
144,LAUGFS GAS PLC,LGL.N0000,1010
145,LB FINANCE PLC,LFIN.N0000,4020
146,LANKEM DEVELOPMENTS PLC,LDEV.N0000,3020
147,KOTMALE HOLDINGS PLC,LAMB.N0000,3020
148,LANKEM CEYLON PLC,LCEY.N0000,2010
149,LANKA ALUMINIUM INDUSTRIES PLC,LALU.N0000,1510
150,CEYLON LAND & EQUITY PLC,KZOO.N0000,4020
151,KELANI VALLEY PLANTATIONS PLC,KVAL.N0000,3020
152,JOHN KEELLS HOTELS PLC,KHL.N0000,2530
153,KOTAGALA PLANTATIONS PLC,KOTA.N0000,3020
154,THE KANDY HOTELS COMPANY (1938) PLC,KHC.N0000,2530
155,KEGALLE  PLANTATIONS  PLC,KGAL.N0000,3020
156,KEELLS FOOD PRODUCTS PLC,KFP.N0000,3020
157,KELANI CABLES PLC,KCAB.N0000,2010
158,KAHAWATTE  PLANTATIONS  PLC,KAHA.N0000,3020
159,JOHN KEELLS PLC,JKL.N0000,2550
160,JOHN KEELLS HOLDINGS PLC,JKH.N0000,2010
161,JANASHAKTHI INSURANCE PLC,JINS.N0000,4030
162,HVA FOODS PLC,HVA.N0000,3020
163,HUNTER & COMPANY PLC,HUNT.N0000,2550
164,JETWING SYMPHONY PLC,JETS.N0000,2530
165,JAT HOLDINGS PLC,JAT.N0000,1510
166,HUNAS HOLDINGS PLC,HUNA.N0000,2530
167,HOTEL SIGIRIYA PLC,HSIG.N0000,2530
168,RESUS ENERGY PLC,HPWR.N0000,5510
169,HATTON PLANTATIONS PLC,HPL.N0000,3020
170,LOTUS HYDRO POWER PLC,HPFL.N0000,5510
171,HORANA PLANTATIONS PLC,HOPL.N0000,3020
172,HNB FINANCE PLC [Non-Voting],HNBF.X0000,4020
173,HNB FINANCE PLC,HNBF.N0000,4020
174,HATTON NATIONAL BANK PLC [Non-Voting],HNB.X0000,4010
175,HATTON NATIONAL BANK PLC,HNB.N0000,4010
176,HEMAS HOLDINGS PLC,HHL.N0000,2010
177,HOUSING DEVELOPMENT FINANCE CORPORATION BANK OF SL,HDFC.N0000,4010
178,HAYLEYS PLC,HAYL.N0000,2010
179,HAYLEYS FIBRE PLC,HEXP.N0000,2520
180,HAYCARB PLC,HAYC.N0000,1510
181,HNB ASSURANCE PLC,HASU.N0000,4030
182,HAPUGASTENNE PLANTATIONS PLC,HAPU.N0000,3020
183,CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,4020
184,CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,3020
185,HARISCHANDRA MILLS PLC,HARI.N0000,3020
