,company_name,security,sector
440,LANKEM CEYLON PLC,LCEY.N0000C`,
441,KOTMALE HOLDINGS PLC,LAMB.N0000C`,
442,LANKA ALUMINIUM INDUSTRIES PLC,LALU.N0000C`,
443,CEYLON LAND & EQUITY PLC,KZOO.N0000C`,
444,KELANI VALLEY PLANTATIONS PLC,KVAL.N0000C`,
445,KOTAGALA PLANTATIONS PLC,KOTA.N0000C`,
446,JOHN KEELLS HOTELS PLC,KHL.N0000C`,
447,THE KANDY HOTELS COMPANY (1938) PLC,KHC.N0000C`,
448,KEGALLE  PLANTATIONS  PLC,KGAL.N0000C`,
449,KEELLS FOOD PRODUCTS PLC,KFP.N0000C`,
450,KELANI CABLES PLC,KCAB.N0000C`,
451,KAHAWATTE  PLANTATIONS  PLC,KAHA.N0000C`,
452,JOHN KEELLS PLC,JKL.N0000C`,
453,JOHN KEELLS HOLDINGS PLC,JKH.N0000C`,
454,JANASHAKTHI INSURANCE PLC,JINS.N0000C`,
455,JETWING SYMPHONY PLC,JETS.N0000C`,
456,JAT HOLDINGS PLC,JAT.N0000C`,
457,HVA FOODS PLC,HVA.N0000C`,
458,HUNTER & COMPANY PLC,HUNT.N0000C`,
459,HUNAS HOLDINGS PLC,HUNA.N0000C`,
460,HOTEL SIGIRIYA PLC,HSIG.N0000C`,
461,RESUS ENERGY PLC,HPWR.N0000C`,
462,HATTON PLANTATIONS PLC,HPL.N0000C`,
463,LOTUS HYDRO POWER PLC,HPFL.N0000C`,
464,HORANA PLANTATIONS PLC,HOPL.N0000C`,
465,HNB FINANCE PLC [Non-Voting],HNBF.X0000C`,
466,HNB FINANCE PLC,HNBF.N0000C`,
467,HATTON NATIONAL BANK PLC,HNB.N0000C`,
468,HATTON NATIONAL BANK PLC [Non-Voting],HNB.X0000C`,
469,HEMAS HOLDINGS PLC,HHL.N0000C`,
470,HAYLEYS FIBRE PLC,HEXP.N0000C`,
471,HOUSING DEVELOPMENT FINANCE CORPORATION BANK OF SL,HDFC.N0000C`,
472,HAYLEYS PLC,HAYL.N0000C`,
473,HAYCARB PLC,HAYC.N0000C`,
474,HNB ASSURANCE PLC,HASU.N0000C`,
475,HARISCHANDRA MILLS PLC,HARI.N0000C`,
476,HAPUGASTENNE PLANTATIONS PLC,HAPU.N0000C`,
477,CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000C`,
478,AMBEON HOLDINGS PLC,GREG.N0000C`,
479,PGP GLASS CEYLON PLC,GLAS.N0000C`,
480,CEYLON GRAIN ELEVATORS PLC,GRAN.N0000C`,
481,GALADARI HOTELS (LANKA) PLC,GHLL.N0000C`,
482,GESTETNER OF CEYLON PLC,GEST.N0000C`,
483,EQUITY TWO PLC,ETWO.N0000C`,
484,EASTERN MERCHANTS PLC,EMER.N0000C`,
485,ELPITIYA PLANTATIONS PLC,ELPL.N0000C`,
486,EDEN HOTEL LANKA PLC,EDEN.N0000C`,
487,E - CHANNELLING PLC,ECL.N0000C`,
488,E B CREASY & COMPANY PLC,EBCR.N0000C`,
489,EAST WEST PROPERTIES PLC,EAST.N0000C`,
490,DANKOTUWA PORCELAIN PLC,DPL.N0000C`,
491,COLOMBO DOCKYARD PLC,DOCK.N0000C`,
492,DISTILLERIES COMPANY OF SRI LANKA PLC,DIST.N0000C`,
493,DIPPED PRODUCTS PLC,DIPD.N0000C`,
494,DIESEL & MOTOR ENGINEERING PLC,DIMO.N0000C`,
495,DIALOG AXIATA PLC,DIAL.N0000C`,
496,DFCC BANK PLC,DFCC.N0000C`,
497,C. W. MACKIE PLC,CWM.N0000C`,
498,CHRISSWORLD PLC,CWL.N0000C`,
499,C T LAND DEVELOPMENT PLC,CTLD.N0000C`,
500,C T HOLDINGS PLC,CTHR.N0000C`,
501,DILMAH CEYLON TEA COMPANY PLC,CTEA.N0000C`,
502,CEYLON TOBACCO COMPANY PLC,CTC.N0000C`,
503,SEYLAN DEVELOPMENTS PLC,CSD.N0000C`,
504,CEYLON TEA BROKERS PLC,CTBL.N0000C`,
505,COMMERCIAL BANK OF CEYLON PLC [Non-Voting],COMB.X0000C`,
506,HAYLEYS LEISURE PLC,CONN.N0000C`,
507,NATION LANKA FINANCE PLC,CSF.N0000C`,
508,SOFTLOGIC FINANCE PLC,CRL.N0000C`,
509,CEYLON PRINTERS PLC,CPRT.N0000C`,
510,COMMERCIAL DEVELOPMENT COMPANY PLC,COMD.N0000C`,
511,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000C`,
512,COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000C`,
513,COLOMBO LAND AND DEVELOPMENT COMPANY PLC,CLND.N0000C`,
514,C M HOLDINGS PLC,COLO.N0000C`,
515,RENUKA FOODS PLC [Non-Voting],COCO.X0000C`,
516,RENUKA FOODS PLC,COCO.N0000C`,
517,WASKADUWA BEACH RESORT PLC,CITW.N0000C`,
518,HIKKADUWA BEACH RESORT PLC,CITH.N0000C`,
519,COLOMBO INVESTMENT TRUST PLC,CIT.N0000C`,
520,CEYLON INVESTMENT PLC,CINV.N0000C`,
521,CEYLINCO HOLDINGS PLC [Non-Voting],CINS.X0000C`,
522,CENTRAL INDUSTRIES PLC,CIND.N0000C`,
523,CEYLINCO HOLDINGS PLC,CINS.N0000C`,
524,C I C HOLDINGS PLC [Non-Voting],CIC.X0000C`,
525,C I C HOLDINGS PLC,CIC.N0000C`,
526,CEYLON HOTELS CORPORATION PLC,CHOT.N0000C`,
527,CHEMANEX PLC,CHMX.N0000C`,
528,CEYLON HOSPITALS PLC [Non-Voting],CHL.X0000C`,
529,FIRST CAPITAL HOLDINGS PLC,CFVF.N0000C`,
530,CEYLON HOSPITALS PLC,CHL.N0000C`,
531,THE COLOMBO FORT LAND AND BUILDING PLC,CFLB.N0000C`,
532,CENTRAL FINANCE COMPANY PLC,CFIN.N0000C`,
533,COLOMBO FORT INVESTMENTS PLC,CFI.N0000C`,
534,LANKA CERAMIC PLC,CERA.N0000C`,
535,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC [Non-Voting],CDB.X0000C`,
536,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000C`,
537,CEYLON COLD STORES PLC,CCS.N0000C`,
538,CARSON CUMBERBATCH PLC,CARS.N0000C`,
539,CARGILLS (CEYLON) PLC,CARG.N0000C`,
540,PRINTCARE PLC,CARE.N0000C`,
541,DIALOG FINANCE PLC,CALF.N0000C`,
542,CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000C`,
543,BUKIT DARAH PLC,BUKI.N0000C`,
544,BROWN & COMPANY PLC,BRWN.N0000C`,
545,BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000C`,
546,CEYLON BEVERAGE HOLDINGS PLC,BREW.N0000C`,
547,B P P L HOLDINGS PLC,BPPL.N0000C`,
548,BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000C`,
549,BOGALA GRAPHITE LANKA PLC,BOGA.N0000C`,
550,BROWNS INVESTMENTS PLC,BIL.N0000C`,
551,ORIENT FINANCE PLC,BFN.N0000C`,
552,BAIRAHA FARMS PLC,BFL.N0000C`,
553,BERUWALA RESORTS PLC,BERU.N0000C`,
554,BROWNS BEACH HOTELS PLC,BBH.N0000C`,
555,BALANGODA  PLANTATIONS  PLC,BALA.N0000C`,
556,THE AUTODROME PLC,AUTO.N0000C`,
557,AMANA TAKAFUL LIFE PLC,ATLL.N0000C`,
558,AMANA TAKAFUL PLC,ATL.N0000C`,
559,INDUSTRIAL ASPHALTS (CEYLON) PLC,ASPH.N0000C`,
560,ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000C`,
561,ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000C`,
562,LANKA ASHOK LEYLAND PLC,ASHO.N0000C`,
563,LANKA REALTY INVESTMENTS PLC,ASCO.N0000C`,
564,ACL PLASTICS PLC,APLA.N0000C`,
565,ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000C`,
566,ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000C`,
567,ALUMEX PLC,ALUM.N0000C`,
568,AMW CAPITAL LEASING AND FINANCE PLC,AMCL.N0000C`,
569,ARPICO INSURANCE PLC,AINS.N0000C`,
570,ALLIANCE FINANCE COMPANY PLC,ALLI.N0000C`,
571,AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000C`,
572,ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000C`,
573,AGSTAR PLC [Non-Voting],AGST.X0000C`,
574,AGALAWATTE  PLANTATIONS  PLC,AGAL.N0000C`,
575,ACCESS ENGINEERING PLC,AEL.N0000C`,
576,AGSTAR PLC,AGST.N0000C`,
577,ABANS FINANCE PLC,AFSL.N0000C`,
578,ACME PRINTING & PACKAGING PLC,ACME.N0000C`,
579,ACL CABLES PLC,ACL.N0000C`,
580,ASIA CAPITAL PLC,ACAP.N0000C`,
581,AMANA BANK PLC,ABL.N0000C`,
582,ABANS ELECTRICALS PLC,ABAN.N0000C`,
583,ASIA ASSET FINANCE PLC [Preference-0000],AAF.P0000C`,
584,SOFTLOGIC LIFE INSURANCE PLC,AAIC.N0000C`,
585,ASIA ASSET FINANCE PLC,AAF.N0000C`,
586,EXTERMINATORS PLC (EXT.B0000),EXT.B0000,3030
587,COLOMBO INVESTMENT TRUST PLC(BONUS),CIT.B0000,null
588,CENTRAL INDUSTRIES PLC (Bonus),CIND.B0000,null
589,COLOMBO FORT INVESTMENTS PLC,CFI.B0000,null
590,AMANA BANK PLC (ABL.B0000),ABL.B0000,null
